election_name,election_year,district,state,tier,election_result,notes
IN - Johnson - 2014,2014,IN - Johnson,IN,,,
IN - Johnson - 2018,2018,IN - Johnson,IN,,,
IN - Knox - 2014,2014,IN - Knox,IN,,,
IN - Knox - 2018,2018,IN - Knox,IN,,,
IN - Kosciusko - 2014,2014,IN - Kosciusko,IN,,,
IN - Kosciusko - 2018,2018,IN - Kosciusko,IN,,,
IN - LaGrange - 2014,2014,IN - LaGrange,IN,,,
IN - LaGrange - 2018,2018,IN - LaGrange,IN,,,
IN - Lake - 2014,2014,IN - Lake,IN,,,
IN - Lake - 2018,2018,IN - Lake,IN,,,
IN - LaPorte - 2014,2014,IN - LaPorte,IN,,,
IN - LaPorte - 2018,2018,IN - LaPorte,IN,,,
IN - Lawrence - 2014,2014,IN - Lawrence,IN,,,
IN - Lawrence - 2018,2018,IN - Lawrence,IN,,,
IN - Madison - 2014,2014,IN - Madison,IN,,,
IN - Madison - 2018,2018,IN - Madison,IN,,,
IN - Marion - 2014,2014,IN - Marion,IN,,,
IN - Marion - 2018,2018,IN - Marion,IN,,,
IN - Marshall - 2014,2014,IN - Marshall,IN,,,
IN - Marshall - 2018,2018,IN - Marshall,IN,,,
IN - Martin - 2014,2014,IN - Martin,IN,,,
IN - Martin - 2018,2018,IN - Martin,IN,,,
IN - Miami - 2014,2014,IN - Miami,IN,,,
IN - Miami - 2018,2018,IN - Miami,IN,,,
IN - Monroe - 2014,2014,IN - Monroe,IN,,,
IN - Monroe - 2018,2018,IN - Monroe,IN,,,
IN - Montgomery - 2014,2014,IN - Montgomery,IN,,,
IN - Montgomery - 2018,2018,IN - Montgomery,IN,,,
IN - Morgan - 2014,2014,IN - Morgan,IN,,,
IN - Morgan - 2018,2018,IN - Morgan,IN,,,
IN - Newton - 2014,2014,IN - Newton,IN,,,
IN - Newton - 2018,2018,IN - Newton,IN,,,
IN - Noble - 2014,2014,IN - Noble,IN,,,
IN - Noble - 2018,2018,IN - Noble,IN,,,
IN - Orange - 2014,2014,IN - Orange,IN,,,
IN - Orange - 2018,2018,IN - Orange,IN,,,
IN - Owen - 2014,2014,IN - Owen,IN,,,
IN - Owen - 2018,2018,IN - Owen,IN,,,
IN - Parke - 2014,2014,IN - Parke,IN,,,
IN - Parke - 2018,2018,IN - Parke,IN,,,
IN - Perry - 2014,2014,IN - Perry,IN,,,
IN - Perry - 2018,2018,IN - Perry,IN,,,
IN - Pike - 2014,2014,IN - Pike,IN,,,
IN - Pike - 2018,2018,IN - Pike,IN,,,
IN - Porter - 2014,2014,IN - Porter,IN,,,
IN - Porter - 2018,2018,IN - Porter,IN,,,
IN - Posey - 2014,2014,IN - Posey,IN,,,
IN - Posey - 2018,2018,IN - Posey,IN,,,
IN - Pulaski - 2014,2014,IN - Pulaski,IN,,,
IN - Pulaski - 2018,2018,IN - Pulaski,IN,,,
IN - Putnam - 2014,2014,IN - Putnam,IN,,,
IN - Putnam - 2018,2018,IN - Putnam,IN,,,
IN - Randolph - 2014,2014,IN - Randolph,IN,,,
IN - Randolph - 2018,2018,IN - Randolph,IN,,,
IN - Ripley - 2014,2014,IN - Ripley,IN,,,
IN - Ripley - 2018,2018,IN - Ripley,IN,,,
IN - Rush - 2014,2014,IN - Rush,IN,,,
IN - Rush - 2018,2018,IN - Rush,IN,,,
IN - Scott - 2014,2014,IN - Scott,IN,,,
IN - Scott - 2018,2018,IN - Scott,IN,,,
IN - Shelby - 2014,2014,IN - Shelby,IN,,,
IN - Shelby - 2018,2018,IN - Shelby,IN,,,
IN - Spencer - 2014,2014,IN - Spencer,IN,,,
IN - Spencer - 2018,2018,IN - Spencer,IN,,,
IN - Starke - 2014,2014,IN - Starke,IN,,,
IN - Starke - 2018,2018,IN - Starke,IN,,,
IN - Steuben - 2014,2014,IN - Steuben,IN,,,
IN - Steuben - 2018,2018,IN - Steuben,IN,,,
IN - St. Joseph - 2014,2014,IN - St. Joseph,IN,,,
IN - St. Joseph - 2018,2018,IN - St. Joseph,IN,,,
IN - Sullivan - 2014,2014,IN - Sullivan,IN,,,
IN - Sullivan - 2018,2018,IN - Sullivan,IN,,,
IN - Switzerland - 2014,2014,IN - Switzerland,IN,,,
IN - Switzerland - 2018,2018,IN - Switzerland,IN,,,
IN - Tippecanoe - 2014,2014,IN - Tippecanoe,IN,,,
IN - Tippecanoe - 2018,2018,IN - Tippecanoe,IN,,,
IN - Tipton - 2014,2014,IN - Tipton,IN,,,
IN - Tipton - 2018,2018,IN - Tipton,IN,,,
IN - Union - 2014,2014,IN - Union,IN,,,
IN - Union - 2018,2018,IN - Union,IN,,,
IN - Vanderburgh - 2014,2014,IN - Vanderburgh,IN,,,
IN - Vanderburgh - 2018,2018,IN - Vanderburgh,IN,,,
IN - Vermillion - 2014,2014,IN - Vermillion,IN,,,
IN - Vermillion - 2018,2018,IN - Vermillion,IN,,,
IN - Vigo - 2014,2014,IN - Vigo,IN,,,
IN - Vigo - 2018,2018,IN - Vigo,IN,,,
IN - Wabash - 2014,2014,IN - Wabash,IN,,,
IN - Wabash - 2018,2018,IN - Wabash,IN,,,
IN - Warren - 2014,2014,IN - Warren,IN,,,
IN - Warren - 2018,2018,IN - Warren,IN,,,
IN - Warrick - 2014,2014,IN - Warrick,IN,,,
IN - Warrick - 2018,2018,IN - Warrick,IN,,,
IN - Washington - 2014,2014,IN - Washington,IN,,,
IN - Washington - 2018,2018,IN - Washington,IN,,,
IN - Wayne - 2014,2014,IN - Wayne,IN,,,
IN - Wayne - 2018,2018,IN - Wayne,IN,,,
IN - Wells - 2014,2014,IN - Wells,IN,,,
IN - Wells - 2018,2018,IN - Wells,IN,,,
IN - White - 2014,2014,IN - White,IN,,,
IN - White - 2018,2018,IN - White,IN,,,
IN - Whitley - 2014,2014,IN - Whitley,IN,,,
IN - Whitley - 2018,2018,IN - Whitley,IN,,,
KS - Allen - 2014,2014,KS - Allen,KS,,,
KS - Allen - 2018,2018,KS - Allen,KS,,,
KS - Anderson - 2012,2012,KS - Anderson,KS,,,
KS - Anderson - 2016,2016,KS - Anderson,KS,,,
KS - Atchison - 2012,2012,KS - Atchison,KS,,,
KS - Atchison - 2016,2016,KS - Atchison,KS,,,
KS - Barber - 2014,2014,KS - Barber,KS,,,
KS - Barber - 2018,2018,KS - Barber,KS,,,
KS - Barton - 2012,2012,KS - Barton,KS,,,
KS - Barton - 2016,2016,KS - Barton,KS,,,
KS - Bourbon - 2016,2016,KS - Bourbon,KS,,,
KS - Brown - 2012,2012,KS - Brown,KS,,,
KS - Brown - 2016,2016,KS - Brown,KS,,,
KS - Butler - 2012,2012,KS - Butler,KS,,,
KS - Butler - 2016,2016,KS - Butler,KS,,,
KS - Chase - 2016,2016,KS - Chase,KS,,,
KS - Chautauqua - 2012,2012,KS - Chautauqua,KS,,,
KS - Chautauqua - 2016,2016,KS - Chautauqua,KS,,,
KS - Cherokee - 2012,2012,KS - Cherokee,KS,,,
KS - Cherokee - 2016,2016,KS - Cherokee,KS,,,
KS - Cheyenne - 2012,2012,KS - Cheyenne,KS,,,
KS - Cheyenne - 2016,2016,KS - Cheyenne,KS,,,
KS - Clark - 2016,2016,KS - Clark,KS,,,
KS - Clay - 2012,2012,KS - Clay,KS,,,
KS - Clay - 2016,2016,KS - Clay,KS,,,
KS - Cloud - 2012,2012,KS - Cloud,KS,,,
KS - Cloud - 2016,2016,KS - Cloud,KS,,,
KS - Coffey - 2016,2016,KS - Coffey,KS,,,
KS - Comanche - 2014,2014,KS - Comanche,KS,,,
KS - Comanche - 2018,2018,KS - Comanche,KS,,,
KS - Cowley - 2012,2012,KS - Cowley,KS,,,
KS - Cowley - 2016,2016,KS - Cowley,KS,,,
KS - Crawford - 2012,2012,KS - Crawford,KS,,,
KS - Crawford - 2016,2016,KS - Crawford,KS,,,
KS - Decatur - 2012,2012,KS - Decatur,KS,,,
KS - Decatur - 2016,2016,KS - Decatur,KS,,,
KS - Dickinson - 2016,2016,KS - Dickinson,KS,,,
KS - Doniphan - 2012,2012,KS - Doniphan,KS,,,
KS - Doniphan - 2016,2016,KS - Doniphan,KS,,,
KS - Douglas - 2012,2012,KS - Douglas,KS,,,
KS - Douglas - 2016,2016,KS - Douglas,KS,,,
KS - Edwards - 2014,2014,KS - Edwards,KS,,,
KS - Edwards - 2018,2018,KS - Edwards,KS,,,
KS - Elk - 2012,2012,KS - Elk,KS,,,
KS - Elk - 2016,2016,KS - Elk,KS,,,
KS - Ellis - 2012,2012,KS - Ellis,KS,,,
KS - Ellis - 2016,2016,KS - Ellis,KS,,,
KS - Ellsworth - 2012,2012,KS - Ellsworth,KS,,,
KS - Ellsworth - 2016,2016,KS - Ellsworth,KS,,,
KS - Finney - 2012,2012,KS - Finney,KS,,,
KS - Finney - 2016,2016,KS - Finney,KS,,,
KS - Ford - 2012,2012,KS - Ford,KS,,,
KS - Ford - 2016,2016,KS - Ford,KS,,,
KS - Franklin - 2012,2012,KS - Franklin,KS,,,
KS - Franklin - 2016,2016,KS - Franklin,KS,,,
KS - Geary - 2012,2012,KS - Geary,KS,,,
KS - Geary - 2016,2016,KS - Geary,KS,,,
KS - Gove - 2012,2012,KS - Gove,KS,,,
KS - Gove - 2016,2016,KS - Gove,KS,,,
KS - Graham - 2012,2012,KS - Graham,KS,,,
KS - Graham - 2016,2016,KS - Graham,KS,,,
KS - Grant - 2012,2012,KS - Grant,KS,,,
KS - Grant - 2016,2016,KS - Grant,KS,,,
KS - Gray - 2012,2012,KS - Gray,KS,,,
KS - Gray - 2016,2016,KS - Gray,KS,,,
KS - Greeley - 2012,2012,KS - Greeley,KS,,,
KS - Greeley - 2016,2016,KS - Greeley,KS,,,
KS - Greenwood - 2012,2012,KS - Greenwood,KS,,,
KS - Greenwood - 2016,2016,KS - Greenwood,KS,,,
KS - Hamilton - 2012,2012,KS - Hamilton,KS,,,
KS - Hamilton - 2016,2016,KS - Hamilton,KS,,,
KS - Harper - 2012,2012,KS - Harper,KS,,,
KS - Harper - 2016,2016,KS - Harper,KS,,,
KS - Harvey - 2012,2012,KS - Harvey,KS,,,
KS - Harvey - 2016,2016,KS - Harvey,KS,,,
KS - Haskell - 2012,2012,KS - Haskell,KS,,,
KS - Haskell - 2016,2016,KS - Haskell,KS,,,
KS - Hodgeman - 2012,2012,KS - Hodgeman,KS,,,
KS - Hodgeman - 2016,2016,KS - Hodgeman,KS,,,
KS - Jackson - 2012,2012,KS - Jackson,KS,,,
KS - Jackson - 2016,2016,KS - Jackson,KS,,,
KS - Jefferson - 2012,2012,KS - Jefferson,KS,,,
KS - Jefferson - 2016,2016,KS - Jefferson,KS,,,
KS - Jewell - 2012,2012,KS - Jewell,KS,,,
KS - Jewell - 2016,2016,KS - Jewell,KS,,,
KS - Johnson - 2012,2012,KS - Johnson,KS,,,
KS - Johnson - 2016,2016,KS - Johnson,KS,,,
KS - Kearny - 2012,2012,KS - Kearny,KS,,,
KS - Kearny - 2016,2016,KS - Kearny,KS,,,
KS - Kingman - 2012,2012,KS - Kingman,KS,,,
KS - Kingman - 2016,2016,KS - Kingman,KS,,,
KS - Kiowa - 2012,2012,KS - Kiowa,KS,,,
KS - Kiowa - 2016,2016,KS - Kiowa,KS,,,
KS - Labette - 2012,2012,KS - Labette,KS,,,
KS - Labette - 2016,2016,KS - Labette,KS,,,
KS - Lane - 2012,2012,KS - Lane,KS,,,
KS - Lane - 2016,2016,KS - Lane,KS,,,
KS - Leavenworth - 2012,2012,KS - Leavenworth,KS,,,
KS - Leavenworth - 2016,2016,KS - Leavenworth,KS,,,
KS - Lincoln - 2012,2012,KS - Lincoln,KS,,,
KS - Lincoln - 2016,2016,KS - Lincoln,KS,,,
KS - Linn - 2012,2012,KS - Linn,KS,,,
KS - Linn - 2016,2016,KS - Linn,KS,,,
KS - Logan - 2012,2012,KS - Logan,KS,,,
KS - Logan - 2016,2016,KS - Logan,KS,,,
KS - Lyon - 2012,2012,KS - Lyon,KS,,,
KS - Lyon - 2016,2016,KS - Lyon,KS,,,
KS - Marion - 2012,2012,KS - Marion,KS,,,
KS - Marion - 2016,2016,KS - Marion,KS,,,
KS - Marshall - 2012,2012,KS - Marshall,KS,,,
KS - Marshall - 2016,2016,KS - Marshall,KS,,,
KS - McPherson - 2016,2016,KS - McPherson,KS,,,
KS - Meade - 2012,2012,KS - Meade,KS,,,
KS - Meade - 2016,2016,KS - Meade,KS,,,
KS - Miami - 2012,2012,KS - Miami,KS,,,
KS - Miami - 2016,2016,KS - Miami,KS,,,
KS - Mitchell - 2012,2012,KS - Mitchell,KS,,,
KS - Mitchell - 2016,2016,KS - Mitchell,KS,,,
KS - Montgomery - 2012,2012,KS - Montgomery,KS,,,
KS - Montgomery - 2016,2016,KS - Montgomery,KS,,,
KS - Morris - 2012,2012,KS - Morris,KS,,,
KS - Morris - 2016,2016,KS - Morris,KS,,,
KS - Morton - 2012,2012,KS - Morton,KS,,,
KS - Morton - 2016,2016,KS - Morton,KS,,,
KS - Nemaha - 2012,2012,KS - Nemaha,KS,,,
KS - Nemaha - 2016,2016,KS - Nemaha,KS,,,
KS - Neosho - 2012,2012,KS - Neosho,KS,,,
KS - Neosho - 2016,2016,KS - Neosho,KS,,,
KS - Ness - 2012,2012,KS - Ness,KS,,,
KS - Ness - 2016,2016,KS - Ness,KS,,,
KS - Norton - 2012,2012,KS - Norton,KS,,,
KS - Norton - 2016,2016,KS - Norton,KS,,,
KS - Osage - 2012,2012,KS - Osage,KS,,,
KS - Osage - 2016,2016,KS - Osage,KS,,,
KS - Osborne - 2012,2012,KS - Osborne,KS,,,
KS - Osborne - 2016,2016,KS - Osborne,KS,,,
KS - Ottawa - 2012,2012,KS - Ottawa,KS,,,
KS - Ottawa - 2016,2016,KS - Ottawa,KS,,,
KS - Pawnee - 2012,2012,KS - Pawnee,KS,,,
KS - Pawnee - 2016,2016,KS - Pawnee,KS,,,
KS - Phillips - 2012,2012,KS - Phillips,KS,,,
KS - Phillips - 2016,2016,KS - Phillips,KS,,,
KS - Pottawatomie - 2012,2012,KS - Pottawatomie,KS,,,
KS - Pottawatomie - 2016,2016,KS - Pottawatomie,KS,,,
KS - Pratt - 2012,2012,KS - Pratt,KS,,,
KS - Pratt - 2016,2016,KS - Pratt,KS,,,
KS - Rawlins - 2012,2012,KS - Rawlins,KS,,,
KS - Rawlins - 2016,2016,KS - Rawlins,KS,,,
KS - Reno - 2012,2012,KS - Reno,KS,,,
KS - Reno - 2016,2016,KS - Reno,KS,,,
KS - Republic - 2012,2012,KS - Republic,KS,,,
KS - Republic - 2016,2016,KS - Republic,KS,,,
KS - Rice - 2012,2012,KS - Rice,KS,,,
KS - Rice - 2016,2016,KS - Rice,KS,,,
KS - Riley - 2012,2012,KS - Riley,KS,,,
KS - Riley - 2016,2016,KS - Riley,KS,,,
KS - Rooks - 2012,2012,KS - Rooks,KS,,,
KS - Rooks - 2016,2016,KS - Rooks,KS,,,
KS - Rush - 2012,2012,KS - Rush,KS,,,
KS - Rush - 2016,2016,KS - Rush,KS,,,
KS - Russell - 2012,2012,KS - Russell,KS,,,
KS - Russell - 2016,2016,KS - Russell,KS,,,
KS - Saline - 2012,2012,KS - Saline,KS,,,
KS - Saline - 2016,2016,KS - Saline,KS,,,
KS - Scott - 2012,2012,KS - Scott,KS,,,
KS - Scott - 2016,2016,KS - Scott,KS,,,
KS - Sedgwick - 2012,2012,KS - Sedgwick,KS,,,
KS - Sedgwick - 2016,2016,KS - Sedgwick,KS,,,
KS - Seward - 2016,2016,KS - Seward,KS,,,
KS - Shawnee - 2012,2012,KS - Shawnee,KS,,,
KS - Shawnee - 2016,2016,KS - Shawnee,KS,,,
KS - Sheridan - 2012,2012,KS - Sheridan,KS,,,
KS - Sheridan - 2016,2016,KS - Sheridan,KS,,,
KS - Sherman - 2016,2016,KS - Sherman,KS,,,
KS - Smith - 2012,2012,KS - Smith,KS,,,
KS - Smith - 2016,2016,KS - Smith,KS,,,
KS - Stafford - 2012,2012,KS - Stafford,KS,,,
KS - Stafford - 2016,2016,KS - Stafford,KS,,,
KS - Stanton - 2012,2012,KS - Stanton,KS,,,
KS - Stanton - 2016,2016,KS - Stanton,KS,,,
KS - Stevens - 2012,2012,KS - Stevens,KS,,,
KS - Stevens - 2016,2016,KS - Stevens,KS,,,
KS - Sumner - 2012,2012,KS - Sumner,KS,,,
KS - Sumner - 2016,2016,KS - Sumner,KS,,,
KS - Thomas - 2012,2012,KS - Thomas,KS,,,
KS - Thomas - 2016,2016,KS - Thomas,KS,,,
KS - Trego - 2012,2012,KS - Trego,KS,,,
KS - Trego - 2016,2016,KS - Trego,KS,,,
KS - Wabaunsee - 2012,2012,KS - Wabaunsee,KS,,,
KS - Wabaunsee - 2016,2016,KS - Wabaunsee,KS,,,
KS - Wallace - 2012,2012,KS - Wallace,KS,,,
KS - Wallace - 2016,2016,KS - Wallace,KS,,,
KS - Washington - 2012,2012,KS - Washington,KS,,,
KS - Washington - 2016,2016,KS - Washington,KS,,,
KS - Wichita - 2012,2012,KS - Wichita,KS,,,
KS - Wichita - 2016,2016,KS - Wichita,KS,,,
KS - Wilson - 2012,2012,KS - Wilson,KS,,,
KS - Wilson - 2016,2016,KS - Wilson,KS,,,
KS - Woodson - 2012,2012,KS - Woodson,KS,,,
KS - Woodson - 2016,2016,KS - Woodson,KS,,,
KS - Wyandotte - 2012,2012,KS - Wyandotte,KS,,,
KS - Wyandotte - 2016,2016,KS - Wyandotte,KS,,,
KY - 10th Circuit - 2012,2012,KY - 10th Circuit,KY,,,
KY - 10th Circuit - 2018,2018,KY - 10th Circuit,KY,,,
KY - 11th Circuit - 2012,2012,KY - 11th Circuit,KY,,,
KY - 11th Circuit - 2018,2018,KY - 11th Circuit,KY,,,
KY - 12th Circuit - 2012,2012,KY - 12th Circuit,KY,,,
KY - 12th Circuit - 2018,2018,KY - 12th Circuit,KY,,,
KY - 13th Circuit - 2012,2012,KY - 13th Circuit,KY,,,
KY - 13th Circuit - 2018,2018,KY - 13th Circuit,KY,,,
KY - 14th Circuit - 2012,2012,KY - 14th Circuit,KY,,,
KY - 14th Circuit - 2018,2018,KY - 14th Circuit,KY,,,
KY - 15th Circuit - 2012,2012,KY - 15th Circuit,KY,,,
KY - 15th Circuit - 2018,2018,KY - 15th Circuit,KY,,,
KY - 16th Circuit - 2012,2012,KY - 16th Circuit,KY,,,
KY - 16th Circuit - 2018,2018,KY - 16th Circuit,KY,,,
KY - 17th Circuit - 2012,2012,KY - 17th Circuit,KY,,,
KY - 17th Circuit - 2018,2018,KY - 17th Circuit,KY,,,
KY - 18th Circuit - 2012,2012,KY - 18th Circuit,KY,,,
KY - 18th Circuit - 2018,2018,KY - 18th Circuit,KY,,,
KY - 19th Circuit - 2012,2012,KY - 19th Circuit,KY,,,
KY - 19th Circuit - 2018,2018,KY - 19th Circuit,KY,,,
KY - 1st Circuit - 2012,2012,KY - 1st Circuit,KY,,,
KY - 1st Circuit - 2018,2018,KY - 1st Circuit,KY,,,
KY - 20th Circuit - 2012,2012,KY - 20th Circuit,KY,,,
KY - 20th Circuit - 2018,2018,KY - 20th Circuit,KY,,,
KY - 21st Circuit - 2012,2012,KY - 21st Circuit,KY,,,
KY - 21st Circuit - 2018,2018,KY - 21st Circuit,KY,,,
KY - 22nd Circuit - 2012,2012,KY - 22nd Circuit,KY,,,
KY - 22nd Circuit - 2018,2018,KY - 22nd Circuit,KY,,,
KY - 23rd Circuit - 2012,2012,KY - 23rd Circuit,KY,,,
KY - 23rd Circuit - 2018,2018,KY - 23rd Circuit,KY,,,
KY - 24th Circuit - 2012,2012,KY - 24th Circuit,KY,,,
KY - 24th Circuit - 2018,2018,KY - 24th Circuit,KY,,,
KY - 25th Circuit - 2012,2012,KY - 25th Circuit,KY,,,
KY - 25th Circuit - 2018,2018,KY - 25th Circuit,KY,,,
KY - 26th Circuit - 2012,2012,KY - 26th Circuit,KY,,,
KY - 26th Circuit - 2018,2018,KY - 26th Circuit,KY,,,
KY - 27th Circuit - 2012,2012,KY - 27th Circuit,KY,,,
KY - 27th Circuit - 2018,2018,KY - 27th Circuit,KY,,,
KY - 28th Circuit - 2012,2012,KY - 28th Circuit,KY,,,
KY - 28th Circuit - 2018,2018,KY - 28th Circuit,KY,,,
KY - 29th Circuit - 2012,2012,KY - 29th Circuit,KY,,,
KY - 29th Circuit - 2018,2018,KY - 29th Circuit,KY,,,
KY - 2nd Circuit - 2012,2012,KY - 2nd Circuit,KY,,,
KY - 2nd Circuit - 2018,2018,KY - 2nd Circuit,KY,,,
KY - 30th Circuit - 2012,2012,KY - 30th Circuit,KY,,,
KY - 30th Circuit - 2018,2018,KY - 30th Circuit,KY,,,
KY - 31st Circuit - 2012,2012,KY - 31st Circuit,KY,,,
KY - 31st Circuit - 2018,2018,KY - 31st Circuit,KY,,,
KY - 32nd Circuit - 2012,2012,KY - 32nd Circuit,KY,,,
KY - 32nd Circuit - 2018,2018,KY - 32nd Circuit,KY,,,
KY - 33rd Circuit - 2012,2012,KY - 33rd Circuit,KY,,,
KY - 33rd Circuit - 2018,2018,KY - 33rd Circuit,KY,,,
KY - 34th Circuit - 2012,2012,KY - 34th Circuit,KY,,,
KY - 34th Circuit - 2018,2018,KY - 34th Circuit,KY,,,
KY - 35th Circuit - 2012,2012,KY - 35th Circuit,KY,,,
KY - 35th Circuit - 2018,2018,KY - 35th Circuit,KY,,,
KY - 36th Circuit - 2012,2012,KY - 36th Circuit,KY,,,
KY - 36th Circuit - 2018,2018,KY - 36th Circuit,KY,,,
KY - 37th Circuit - 2012,2012,KY - 37th Circuit,KY,,,
KY - 37th Circuit - 2018,2018,KY - 37th Circuit,KY,,,
KY - 38th Circuit - 2012,2012,KY - 38th Circuit,KY,,,
KY - 38th Circuit - 2018,2018,KY - 38th Circuit,KY,,,
KY - 39th Circuit - 2012,2012,KY - 39th Circuit,KY,,,
KY - 39th Circuit - 2018,2018,KY - 39th Circuit,KY,,,
KY - 3rd Circuit - 2012,2012,KY - 3rd Circuit,KY,,,
KY - 3rd Circuit - 2018,2018,KY - 3rd Circuit,KY,,,
KY - 40th Circuit - 2012,2012,KY - 40th Circuit,KY,,,
KY - 40th Circuit - 2018,2018,KY - 40th Circuit,KY,,,
KY - 41st Circuit - 2012,2012,KY - 41st Circuit,KY,,,
KY - 41st Circuit - 2018,2018,KY - 41st Circuit,KY,,,
KY - 42nd Circuit - 2012,2012,KY - 42nd Circuit,KY,,,
KY - 42nd Circuit - 2018,2018,KY - 42nd Circuit,KY,,,
KY - 43rd Circuit - 2012,2012,KY - 43rd Circuit,KY,,,
KY - 43rd Circuit - 2018,2018,KY - 43rd Circuit,KY,,,
KY - 44th Circuit - 2012,2012,KY - 44th Circuit,KY,,,
KY - 44th Circuit - 2018,2018,KY - 44th Circuit,KY,,,
KY - 45th Circuit - 2012,2012,KY - 45th Circuit,KY,,,
KY - 45th Circuit - 2018,2018,KY - 45th Circuit,KY,,,
KY - 46th Circuit - 2012,2012,KY - 46th Circuit,KY,,,
KY - 46th Circuit - 2018,2018,KY - 46th Circuit,KY,,,
KY - 47th Circuit - 2012,2012,KY - 47th Circuit,KY,,,
KY - 47th Circuit - 2018,2018,KY - 47th Circuit,KY,,,
KY - 48th Circuit - 2012,2012,KY - 48th Circuit,KY,,,
KY - 48th Circuit - 2018,2018,KY - 48th Circuit,KY,,,
KY - 49th Circuit - 2012,2012,KY - 49th Circuit,KY,,,
KY - 49th Circuit - 2018,2018,KY - 49th Circuit,KY,,,
KY - 4th Circuit - 2018,2018,KY - 4th Circuit,KY,,,
KY - 50th Circuit - 2012,2012,KY - 50th Circuit,KY,,,
KY - 50th Circuit - 2018,2018,KY - 50th Circuit,KY,,,
KY - 51st Circuit - 2012,2012,KY - 51st Circuit,KY,,,
KY - 51st Circuit - 2018,2018,KY - 51st Circuit,KY,,,
KY - 52nd Circuit - 2012,2012,KY - 52nd Circuit,KY,,,
KY - 52nd Circuit - 2018,2018,KY - 52nd Circuit,KY,,,
KY - 53rd Circuit - 2012,2012,KY - 53rd Circuit,KY,,,
KY - 53rd Circuit - 2018,2018,KY - 53rd Circuit,KY,,,
KY - 54th Circuit - 2012,2012,KY - 54th Circuit,KY,,,
KY - 54th Circuit - 2018,2018,KY - 54th Circuit,KY,,,
KY - 55th Circuit - 2012,2012,KY - 55th Circuit,KY,,,
KY - 55th Circuit - 2018,2018,KY - 55th Circuit,KY,,,
KY - 56th Circuit - 2018,2018,KY - 56th Circuit,KY,,,
KY - 57th Circuit - 2012,2012,KY - 57th Circuit,KY,,,
KY - 57th Circuit - 2018,2018,KY - 57th Circuit,KY,,,
KY - 5th Circuit - 2012,2012,KY - 5th Circuit,KY,,,
KY - 5th Circuit - 2018,2018,KY - 5th Circuit,KY,,,
KY - 6th Circuit - 2012,2012,KY - 6th Circuit,KY,,,
KY - 6th Circuit - 2018,2018,KY - 6th Circuit,KY,,,
KY - 7th Circuit - 2012,2012,KY - 7th Circuit,KY,,,
KY - 7th Circuit - 2018,2018,KY - 7th Circuit,KY,,,
KY - 8th Circuit - 2012,2012,KY - 8th Circuit,KY,,,
KY - 8th Circuit - 2018,2018,KY - 8th Circuit,KY,,,
KY - 9th Circuit - 2012,2012,KY - 9th Circuit,KY,,,
KY - 9th Circuit - 2018,2018,KY - 9th Circuit,KY,,,
LA - 10th District - 2014,2014,LA - 10th District,LA,,,
LA - 10th District - 2020,2020,LA - 10th District,LA,,,
LA - 11th District - 2014,2014,LA - 11th District,LA,,,
LA - 11th District - 2020,2020,LA - 11th District,LA,,,
LA - 12th District - 2014,2014,LA - 12th District,LA,,,
LA - 12th District - 2020,2020,LA - 12th District,LA,,,
LA - 13th District - 2014,2014,LA - 13th District,LA,,,
LA - 13th District - 2020,2020,LA - 13th District,LA,,,
LA - 14th District - 2014,2014,LA - 14th District,LA,,,
LA - 14th District - 2020,2020,LA - 14th District,LA,,,
LA - 15th District - 2014,2014,LA - 15th District,LA,,,
LA - 15th District - 2020,2020,LA - 15th District,LA,,,
LA - 16th District - 2014,2014,LA - 16th District,LA,,,
LA - 16th District - 2020,2020,LA - 16th District,LA,,,
LA - 17th District - 2014,2014,LA - 17th District,LA,,,
LA - 17th District - 2020,2020,LA - 17th District,LA,,,
LA - 18th District - 2014,2014,LA - 18th District,LA,,,
LA - 18th District - 2020,2020,LA - 18th District,LA,,,
LA - 19th District - 2014,2014,LA - 19th District,LA,,,
LA - 19th District - 2020,2020,LA - 19th District,LA,,,
LA - 1st District - 2014,2014,LA - 1st District,LA,,,
LA - 1st District - 2020,2020,LA - 1st District,LA,,,
LA - 20th District - 2014,2014,LA - 20th District,LA,,,
LA - 20th District - 2020,2020,LA - 20th District,LA,,,
LA - 21st District - 2014,2014,LA - 21st District,LA,,,
LA - 21st District - 2020,2020,LA - 21st District,LA,,,
LA - 22nd District - 2014,2014,LA - 22nd District,LA,,,
LA - 22nd District - 2020,2020,LA - 22nd District,LA,,,
LA - 23rd District - 2014,2014,LA - 23rd District,LA,,,
LA - 23rd District - 2020,2020,LA - 23rd District,LA,,,
LA - 24th District - 2014,2014,LA - 24th District,LA,,,
LA - 24th District - 2020,2020,LA - 24th District,LA,,,
LA - 25th District - 2014,2014,LA - 25th District,LA,,,
LA - 25th District - 2020,2020,LA - 25th District,LA,,,
LA - 26th District - 2014,2014,LA - 26th District,LA,,,
LA - 26th District - 2020,2020,LA - 26th District,LA,,,
LA - 27th District - 2014,2014,LA - 27th District,LA,,,
LA - 27th District - 2020,2020,LA - 27th District,LA,,,
LA - 28th District - 2014,2014,LA - 28th District,LA,,,
LA - 28th District - 2020,2020,LA - 28th District,LA,,,
LA - 29th District - 2014,2014,LA - 29th District,LA,,,
LA - 29th District - 2020,2020,LA - 29th District,LA,,,
