district_id,district_short,state,job_title,population,percent_aa,percent_latino,percent_obama,primary_election_date,general_election_date,next_filing_date,election_result,notes
AL - 8th Circuit,8th Circuit,AL,District Attorney,119607,12.50,7.90,27.20,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,
AL - 9th Circuit,9th Circuit,AL,District Attorney,97102,2.80,11.10,21.80,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,
AR - 10th District,10th District,AR,Prosecuting Attorney,74162,34.56,5.98,44.60,,2018-05-01,2018-01-01,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,Filing deadline in November. May is final election for Prosecuting Attorneys in AR; exact date unknown.
AR - 11th District East,11th District East,AR,Prosecuting Attorney,18594,24.50,3.00,37.80,,2018-05-01,2018-01-01,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,Filing deadline in November. May is final election for Prosecuting Attorneys in AR; exact date unknown.
AR - 11th District West,11th District West,AR,Prosecuting Attorney,86267,51.42,2.18,60.70,,2018-05-01,2018-01-01,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,Filing deadline in November. May is final election for Prosecuting Attorneys in AR; exact date unknown.
AR - 12th District,12th District,AR,Prosecuting Attorney,126776,6.80,13.40,30.20,,2018-05-01,2018-01-01,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,Filing deadline in November. May is final election for Prosecuting Attorneys in AR; exact date unknown.
AR - 13th District,13th District,AR,Prosecuting Attorney,110394,33.60,2.93,37.90,,2018-05-01,2018-01-01,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,Filing deadline in November. May is final election for Prosecuting Attorneys in AR; exact date unknown.
AR - 14th District,14th District,AR,Prosecuting Attorney,102324,0.39,2.14,26.30,,2018-05-01,2018-01-01,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,Filing deadline in November. May is final election for Prosecuting Attorneys in AR; exact date unknown.
AR - 15th District,15th District,AR,Prosecuting Attorney,75685,4.32,8.45,30.90,,2018-05-01,2018-01-01,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,Filing deadline in November. May is final election for Prosecuting Attorneys in AR; exact date unknown.
AR - 16th District,16th District,AR,Prosecuting Attorney,100698,1.33,3.45,26.10,,2018-05-01,2018-01-01,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,Filing deadline in November (or Jan?? http://www.sos.arkansas.gov/elections/Documents/2014%20Nonpartisan%20Prosecutor%20Elections_Calendar.pdf). May is final election for Prosecuting Attorneys in AR; exact date unknown.
