State,District,"(Counties, if a District)",Population/Census 2014,Percent Pop AA,Percent Pop Hispanic,Obama Share by Vote (2012),Title,Name,First Year in office,Last Election Year,Percent Vote Last Election,Party Affiliation,Race,Gender,status of reelection,Republican candidates,Rep Race,Rep Gender ,Democratic candidates,Dem Race,Dem Gender,NP Candidate,NP Race,NP Gender,Category,Next Election,Past election result,,Special notes
AL,39th Circuit,Limestone,82782,13.5,5.8,27.7,District Attorney,Brian C.T. Jones,2011,2010,51,R,C,M,running,Kristi Valls,C,F,,,,,,,N,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,
AL,3rd Circuit,"Barbour, Bullock",37651,54,5.4,59.2,District Attorney,Ben Reeves,,2010,U,D,C,M,running,,,,,,,,,,A,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,
AL,40th Circuit,"Clay, Coosa",25471,14.5,3.4,33.2,District Attorney,Fred Thompson,,2010,U,D,C,M,not running,Amy Newsome,C,F,,,,,,,N,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,
AL,41st Circuit,Blount,57322,1.8,8.7,12.3,District Attorney,Pamela Casey,2011,2010,U,R,C,F,running,Scott McPherson,C,M,,,,,,,N,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,
AL,4th Circuit,"Bibb, Dallas, Hale, Perry, Wilcox",100325,56,1.3,62.5,District Attorney,Michael Jackson,,2010,U,D,AA,M,running,,,,Faya (Rose Sanders) Toure,AA,F,,,,A,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,
AL,5th Circuit,"Chambers, Macon, Randolph,Tallapoosa",117025,39,2.1,54.3,District Attorney,E. Paul Jones,2004,2010,U,D,C,M,not running,William Harris,C,M,D. Jeremy Duerr,C,M,,,,M,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,http://www.alexcityoutlook.com/2015/09/28/lewis-to-seek-da-post-as-jones-set-to-retire/
AL,6th Circuit,Tuscaloosa,202212,31,3.3,40.7,District Attorney,Lyn Head,2013,appt,,R,C,F,running,Robert Hays Webb,C,M,Dennis Steverson,AA,M,,,,O,2016,,,
AL,7th Circuit,"Calhoun, Cleburne",130996,18.8,3.1,31.3,District Attorney,Brian McVeigh,2011,appt,,R,C,M,running,,,,,,,,,,N,2016,,,
AL,8th Circuit,Morgan,119607,12.5,7.9,27.2,District Attorney,Scott Anderson,2011,2010,U,R,C,M,running,,,,,,,,,,N,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,
AL,9th Circuit,"Cherokee, DeKalb",97102,2.8,11.1,21.8,District Attorney,Michael O'Dell,1996,2010,U,D,C,M,running,,,,,,,,,,N,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,switched from Democratic to Republican affiliation in 2013
AR,10th District,"Ashley, Bradley, Chicot, Desha, Drew",74162,34.56,5.98,44.6,Prosecuting Attorney,Thomas Deen,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,
AR,11th District East,Arkansas,18594,24.5,3,37.8,Prosecuting Attorney,Robert Dittrich,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,
AR,11th District West,"Jefferson, Lincoln",86267,51.42,2.18,60.7,Prosecuting Attorney,S. Kyle Hunter,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,
AR,12th District,Sebastian,126776,6.8,13.4,30.2,Prosecuting Attorney,Daniel Shue,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,
AR,13th District,"Calhoun, Cleveland, Columbia, Dallas, Ouachita, Union",110394,33.6,2.93,37.9,Prosecuting Attorney,David F. Butler,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,
AR,14th District," Baxter, Boone, Marion, Newton",102324,0.39,2.14,26.3,Prosecuting Attorney,David Ethridge,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,
AR,15th District," Conway, Logan, Scott, Yell",75685,4.32,8.45,30.9,Prosecuting Attorney,Tom Tatum II,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,
AR,16th District,"Cleburne, Fulton, Independence, Izard, and Stone",100698,1.33,3.45,26.1,Prosecuting Attorney,Don McSpadden,1999,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,
AR,17th District,"Prairie, White",86896,5.28,3.91,22.4,Prosecuting Attorney,"Rebecca ""Becky"" Reed",,2014,57.4,NP,C,F,,,,,,,,,,,,2018,http://results.enr.clarityelections.com/AR/51266/133405/en/summary.html,,
AR,18th District East,Garland,97322,8.5,5.3,33.9,Prosecuting Attorney,Terri Harris,,appt,,NP,C,F,not running,,,,,,,Michelle Lawrence,C,F,,2016,,,special election for unexpired term
AR,18th District West,"Montgomery, Polk",29307,0.53,5.53,22.2,Prosecuting Attorney,Andy Riner,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,
AR,19th District East,Carroll,27744,0.8,14.6,36.3,Prosecuting Attorney,Tony Rogers,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,
AR,19th District West,Benton,242321,1.9,16.2,28.6,Prosecuting Attorney,Nathan Smith,,2014,51.9,NP,C,M,,,,,,,,,,,,2018,http://results.enr.clarityelections.com/AR/51266/133405/en/summary.html,,
AR,1st District,"Cross, Lee, Monroe, Phillips, St. Francis, and Woodruff",88408,45.99,2.7,53.9,Prosecuting Attorney,"Fletcher Long, Jr. ",1992,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,http://www.arktimes.com/arkansas/prosecutors-have-all-the-power/Content?oid=3452595
AR,20th District,"Faulkner, Searcy, Van Buren",145548,9.45,3.88,31.6,Prosecuting Attorney,Cody Hiland,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,
AR,21st District,Crawford,61697,1.6,6.7,23.7,Prosecuting Attorney,Marc McCune,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,
AR,22nd District,Saline,115719,6.6,4.2,27.3,Prosecuting Attorney,Ken Casady,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,
AR,23rd District,Lonoke,71557,6.2,4,23.3,Prosecuting Attorney,Chuck Graham,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,
AR,2nd District ,"Clay, Craighead, Crittenden, Greene, Mississippi and Poinsett ",279359,20.9,3.52,39.2,Prosecuting Attorney,Scott Ellington,2010,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,http://www.arkansasonline.com/2014filings/
AR,3rd District," Jackson, Lawrence, Randolph, Sharp",68942,5.15,2.06,25.3,Prosecuting Attorney,Henry Boyce,2003,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,
AR,4th District,Washington and Madison,236532,3.29,15.48,39.4,Prosecuting Attorney,Matt Durrett,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,
AR,5th District,"Pope, Johnson, Franklin",107011,2.55,8.74,27.5,Prosecuting Attorney,David Gibbons,1997,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,
AR,6th District,"Perry, Pulaski",402947,35.14,5.92,54.1,Prosecuting Attorney,Larry Jegley,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,
AR,7th District,"Grant, Hot Spring",51512,8.5,3.05,29.9,Prosecuting Attorney,Teresa Howell,,2014,U,NP,C,F,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,
AR,8th District North,"Hempstead, Nevada",31050,30.07,9.99,36.7,Prosecuting Attorney,Christi McQueen,,2014,U,NP,C,F,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,
AR,8th District South,"Lafayette, Miller",50539,26.79,2.95,31.2,Prosecuting Attorney,Stephanie Black,2015,2014,U,NP,C,F,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,
AR,9th District East,Clark,22576,24,4.4,45.3,Prosecuting Attorney,Blake Batson,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,
AR,9th District West,"Howard, Little River, Pike, Sevier",54482,11.86,15.23,27.9,Prosecuting Attorney,Bryan Chesshir,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,
