,fips_code,county_name,district,state,State_Abbreviation,State_Code,FIPS_code,Full_County_Name,H1,County_Name,FIPS,_merge,
3231,,,,,PR,72,137,Toa Baja Municipio,H1,Toa Baja Municipi,72137,right_only,
3232,,,,,PR,72,139,Trujillo Alto Municipio,H1,Trujillo Alto Municipi,72139,right_only,
3233,,,,,PR,72,143,Vega Alta Municipio,H1,Vega Alta Municipi,72143,right_only,
3234,,,,,PR,72,145,Vega Baja Municipio,H1,Vega Baja Municipi,72145,right_only,
3235,,,,,PR,72,147,Vieques Municipio,H1,Vieques Municipi,72147,right_only,
3236,,,,,PR,72,149,Villalba Municipio,H1,Villalba Municipi,72149,right_only,
3237,,,,,PR,72,151,Yabucoa Municipio,H1,Yabucoa Municipi,72151,right_only,
3238,,,,,PR,72,153,Yauco Municipio,H1,Yauco Municipi,72153,right_only,
3239,,,,,UM,74,300,Midway Islands,H4,Midway Islands,74300,right_only,
3240,,,,,VI,78,10,St. Croix Island,H4,St. Croix Island,78010,right_only,
3241,,,,,VI,78,20,St. John Island,H4,St. John Island,78020,right_only,
3242,,,,,VI,78,30,St. Thomas Island,H4,St. Thomas Island,78030,right_only,
