,"(Counties, if a District)",Population/Census 2014,Percent Pop AA,Percent Pop Hispanic,Obama Share by Vote (2012),Title,Name,First Year in office,Last Election Year,Percent Vote Last Election,Party Affiliation,Race,Gender,status of reelection,Republican candidates,Rep Race,Rep Gender ,Democratic candidates,Dem Race,Dem Gender,NP Candidate,NP Race,NP Gender,Category,Next Election,Past election result,,Special notes,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,,"filing deadline November 6th, 2015 for March 2016 primary",,,,"six year terms, last general election 2010",,,,,,,,,,,,,,,,,,,,,,,,Democrat Candidates: http://www.alabamavotes.gov/downloads/election/2016/primary/statecert-demparty-candidates_2015-12-18.pdf,,,,,,,,,,
,,allocation of counties to districts according to: http://www.alabamaprosecutor.com/DAList.aspx,,,,,,,,,,,,,,,,,,,,,,,,certified election results from November 2010,,,,,Republican candidates for 2016: http://www.alabamavotes.gov/downloads/election/2016/primary/statecert-repparty-candidates_2015-12-18_amended.pdf,,,,,,,,,
39th Circuit,Limestone,82782,13.5,5.8,27.7,District Attorney,Brian C.T. Jones,2011,2010,51,R,C,M,running,Kristi Valls,C,F,,,,,,,N,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,,,,,,,,,,,,,
40th Circuit,"Clay, Coosa",25471,14.5,3.4,33.2,District Attorney,Fred Thompson,,2010,U,D,C,M,not running,Amy Newsome,C,F,,,,,,,N,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,John Keith Warren,C,M,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Jeffrey Willis,C,M,,,,,,,,,,,,,,,,,,,,,,,
41st Circuit,Blount,57322,1.8,8.7,12.3,District Attorney,Pamela Casey,2011,2010,U,R,C,F,running,Scott McPherson,C,M,,,,,,,N,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,June 1 filing deadline,,,,,,,,,,,,,qualifying period May 2016,,,,,,,,,,,,,,,,,,,,,,,,,,
Apache,,71828,0.9,6.4,66.2,County Attorney,Michael B. Whiting,,2012,U,D,C,M,,,,,,,,,,,A,2016,http://results.enr.clarityelections.com/AZ/Apache/42052/125574/Web01/en/summary.html,,,,,,,,,,,,,,
Cochise,,127448,4.7,34.6,37.7,County Attorney,Brian McIntyre,2014,appointed,,R,C,M,,,,,,,,,,,A,2016,,,,,,,,,,,,,,,
