,fips_code,county_name,district,state,GEO_display-label,id,first_name,last_name,gender,race,party,is_incumbent,is_running,is_appointed,won_primary,first_year_elected,last_year_elected,percent_vote,next_election,wa,ba,ia,aa,na,hispanic,tot_tom,tot_persons_color,total_pop,perc_persons_color,majority-minority
2882,53001,Adams,WA - Adams,WA,"Adams County, Washington",7372,Randy,Flyckt,Male,White,26,Yes,Not Sure,No,,,2014,,2018,6742.0,73.0,77.0,168.0,6.0,11889.0,299.0,12512.0,19254,0.649838994495,minority
2892,53021,Franklin,WA - Franklin,WA,"Franklin County, Washington",7383,Shawn,Sant,Male,White,26,Yes,Not Sure,No,,,2014,,2018,36889.0,1716.0,443.0,1691.0,158.0,45725.0,2185.0,51918.0,88807,0.584616077561,minority
2920,53077,Yakima,WA - Yakima,WA,"Yakima County, Washington",7411,Joseph,Brusic,Male,White,26,Yes,Not Sure,No,,,2014,,2018,110213.0,1968.0,9176.0,2742.0,208.0,117454.0,7069.0,138617.0,248830,0.557075111522,minority
3018,55078,Menominee,WI - Menominee-Shawano,WI,"Menominee County, Wisconsin",7536,Greg,Parker,Male,White,26,Yes,Yes,No,U,,2012,,2016,596.0,41.0,3447.0,118.0,1.0,257.0,113.0,3977.0,4573,0.869669801006,minority
3075,02013,Aleutians East,AK - 3rd Judical District,AK,"Aleutians East Borough, Alaska",Fusion-38,Clinton M.,Campion,Male,White,,Yes,,Yes,,2015,,,,398.0,333.0,640.0,1372.0,24.0,463.0,111.0,2943.0,3341,0.880873989823,minority
3076,02013,Aleutians East,AK - 3rd Judical District,AK,"Aleutians East Borough, Alaska",Fusion-40,Clinton M.,Campion,Male,White,,Yes,,Yes,,Not sure,,,,398.0,333.0,640.0,1372.0,24.0,463.0,111.0,2943.0,3341,0.880873989823,minority
3077,02013,Aleutians East,AK - 3rd Judical District,AK,"Aleutians East Borough, Alaska",Fusion-43,Scott H.,Leaders,Male,White,,Yes,,Yes,,2011,,,,398.0,333.0,640.0,1372.0,24.0,463.0,111.0,2943.0,3341,0.880873989823,minority
3078,02013,Aleutians East,AK - 3rd Judical District,AK,"Aleutians East Borough, Alaska",Fusion-45,Stephen B.,Wallace,Male,White,,Yes,,Yes,,Not sure,,,,398.0,333.0,640.0,1372.0,24.0,463.0,111.0,2943.0,3341,0.880873989823,minority
3079,02013,Aleutians East,AK - 3rd Judical District,AK,"Aleutians East Borough, Alaska",Fusion-48,Roman J.,Kalytiak,Male,White,,Yes,,Yes,,Not sure,,,,398.0,333.0,640.0,1372.0,24.0,463.0,111.0,2943.0,3341,0.880873989823,minority
3080,02016,Aleutians West Census Area,AK - 3rd Judical District,AK,"Aleutians West Census Area, Alaska",Fusion-38,Clinton M.,Campion,Male,White,,Yes,,Yes,,2015,,,,1476.0,401.0,654.0,1988.0,128.0,799.0,256.0,4226.0,5702,0.741143458436,minority
3081,02016,Aleutians West Census Area,AK - 3rd Judical District,AK,"Aleutians West Census Area, Alaska",Fusion-40,Clinton M.,Campion,Male,White,,Yes,,Yes,,Not sure,,,,1476.0,401.0,654.0,1988.0,128.0,799.0,256.0,4226.0,5702,0.741143458436,minority
