,GEO_display-label
32750,"habersham county, georgia"
32822,"hall county, georgia"
32894,"hancock county, georgia"
32966,"haralson county, georgia"
33038,"harris county, georgia"
33110,"hart county, georgia"
33182,"heard county, georgia"
33254,"henry county, georgia"
33326,"houston county, georgia"
33398,"irwin county, georgia"
33470,"jackson county, georgia"
33542,"jasper county, georgia"
33614,"jeff davis county, georgia"
33686,"jefferson county, georgia"
33758,"jenkins county, georgia"
33830,"johnson county, georgia"
33902,"jones county, georgia"
33974,"lamar county, georgia"
34046,"lanier county, georgia"
34118,"laurens county, georgia"
34190,"lee county, georgia"
34262,"liberty county, georgia"
34334,"lincoln county, georgia"
34406,"long county, georgia"
34478,"lowndes county, georgia"
34550,"lumpkin county, georgia"
34622,"mcduffie county, georgia"
34694,"mcintosh county, georgia"
34766,"macon county, georgia"
34838,"madison county, georgia"
34910,"marion county, georgia"
34982,"meriwether county, georgia"
35054,"miller county, georgia"
35126,"mitchell county, georgia"
35198,"monroe county, georgia"
35270,"montgomery county, georgia"
35342,"morgan county, georgia"
35414,"murray county, georgia"
35486,"muscogee county, georgia"
35558,"newton county, georgia"
35630,"oconee county, georgia"
35702,"oglethorpe county, georgia"
35774,"paulding county, georgia"
35846,"peach county, georgia"
35918,"pickens county, georgia"
35990,"pierce county, georgia"
36062,"pike county, georgia"
36134,"polk county, georgia"
36206,"pulaski county, georgia"
36278,"putnam county, georgia"
36350,"quitman county, georgia"
36422,"rabun county, georgia"
36494,"randolph county, georgia"
36566,"richmond county, georgia"
36638,"rockdale county, georgia"
36710,"schley county, georgia"
36782,"screven county, georgia"
36854,"seminole county, georgia"
36926,"spalding county, georgia"
36998,"stephens county, georgia"
37070,"stewart county, georgia"
37142,"sumter county, georgia"
37214,"talbot county, georgia"
37286,"taliaferro county, georgia"
37358,"tattnall county, georgia"
37430,"taylor county, georgia"
37502,"telfair county, georgia"
37574,"terrell county, georgia"
37646,"thomas county, georgia"
37718,"tift county, georgia"
37790,"toombs county, georgia"
37862,"towns county, georgia"
37934,"treutlen county, georgia"
38006,"troup county, georgia"
38078,"turner county, georgia"
38150,"twiggs county, georgia"
38222,"union county, georgia"
38294,"upson county, georgia"
38366,"walker county, georgia"
38438,"walton county, georgia"
38510,"ware county, georgia"
38582,"warren county, georgia"
38654,"washington county, georgia"
38726,"wayne county, georgia"
38798,"webster county, georgia"
38870,"wheeler county, georgia"
38942,"white county, georgia"
39014,"whitfield county, georgia"
39086,"wilcox county, georgia"
39158,"wilkes county, georgia"
39230,"wilkinson county, georgia"
39302,"worth county, georgia"
39374,"hawaii county, hawaii"
39446,"honolulu county, hawaii"
39518,"kalawao county, hawaii"
39590,"kauai county, hawaii"
39662,"maui county, hawaii"
40310,"bonner county, idaho"
41390,"gooding county, idaho"
43262,"bureau county, illinois"
43694,"clark county, illinois"
43910,"coles county, illinois"
44486,"edgar county, illinois"
44990,"gallatin county, illinois"
45350,"hardin county, illinois"
45422,"henderson county, illinois"
45854,"jersey county, illinois"
46142,"kankakee county, illinois"
47150,"madison county, illinois"
49022,"scott county, illinois"
49454,"vermilion county, illinois"
49742,"wayne county, illinois"
50174,"woodford county, illinois"
54350,"ohio county, indiana"
55286,"st. joseph county, indiana"
57230,"benton county, iowa"
58670,"davis county, iowa"
65726,"elk county, kansas"
68246,"meade county, kansas"
68462,"montgomery county, kansas"
68966,"osage county, kansas"
70622,"stafford county, kansas"
70982,"trego county, kansas"
71990,"bell county, kentucky"
80198,"acadia parish, louisiana"
80270,"allen parish, louisiana"
80342,"ascension parish, louisiana"
80414,"assumption parish, louisiana"
80486,"avoyelles parish, louisiana"
80558,"beauregard parish, louisiana"
80630,"bienville parish, louisiana"
80702,"bossier parish, louisiana"
80774,"caddo parish, louisiana"
80846,"calcasieu parish, louisiana"
80918,"caldwell parish, louisiana"
80990,"cameron parish, louisiana"
81062,"catahoula parish, louisiana"
81134,"claiborne parish, louisiana"
81206,"concordia parish, louisiana"
81278,"de soto parish, louisiana"
81350,"east baton rouge parish, louisiana"
81422,"east carroll parish, louisiana"
81494,"east feliciana parish, louisiana"
81566,"evangeline parish, louisiana"
81638,"franklin parish, louisiana"
81710,"grant parish, louisiana"
81782,"iberia parish, louisiana"
81854,"iberville parish, louisiana"
81926,"jackson parish, louisiana"
81998,"jefferson parish, louisiana"
82070,"jefferson davis parish, louisiana"
82142,"lafayette parish, louisiana"
82214,"lafourche parish, louisiana"
82286,"lasalle parish, louisiana"
82358,"lincoln parish, louisiana"
82430,"livingston parish, louisiana"
82502,"madison parish, louisiana"
82574,"morehouse parish, louisiana"
82646,"natchitoches parish, louisiana"
82790,"ouachita parish, louisiana"
82862,"plaquemines parish, louisiana"
82934,"pointe coupee parish, louisiana"
83006,"rapides parish, louisiana"
83078,"red river parish, louisiana"
83150,"richland parish, louisiana"
83222,"sabine parish, louisiana"
83294,"st. bernard parish, louisiana"
83366,"st. charles parish, louisiana"
83438,"st. helena parish, louisiana"
83510,"st. james parish, louisiana"
83582,"st. john the baptist parish, louisiana"
83654,"st. landry parish, louisiana"
83726,"st. martin parish, louisiana"
83798,"st. mary parish, louisiana"
83870,"st. tammany parish, louisiana"
83942,"tangipahoa parish, louisiana"
84014,"tensas parish, louisiana"
84086,"terrebonne parish, louisiana"
84158,"union parish, louisiana"
